,Actual,Predicted,Lower_CI,Upper_CI
0,31.1,31.1,,
1,32.6,32.6,,
2,35.6,35.6,,
3,33.6,33.6,,
4,31.7,31.7,,
5,30.5,30.5,,
6,35.0,35.0,,
7,32.4,32.4,,
8,31.4,31.4,,
9,34.2,34.2,,
10,32.9,32.9,,
11,32.1,32.1,,
12,31.4,31.4,,
13,31.8,31.8,,
14,32.1,32.1,,
15,34.2,34.2,,
16,33.2,33.2,,
17,35.1,35.1,,
18,34.1,34.1,,
19,32.2,32.2,,
20,38.8,38.8,,
21,34.2,34.2,,
22,33.1,33.1,,
23,32.1,32.1,,
24,31.1,31.1,,
25,34.0,34.0,,
26,37.8,37.8,,
27,31.5,31.5,,
28,35.5,35.5,,
29,35.8,35.8,,
30,34.9,34.9,,
31,34.8,34.8,,
32,34.7,34.7,,
33,35.2,35.2,,
34,35.7,35.7,,
35,31.8,31.8,,
36,37.2,37.2,,
37,30.2,30.2,,
38,29.4,29.4,,
39,34.5,34.5,,
40,29.0,29.0,,
41,31.2,31.2,,
42,32.3,32.3,,
43,32.8,32.8,,
44,33.4,33.4,,
45,30.5,30.5,,
46,29.3,29.3,,
47,30.0,30.0,,
48,36.7,36.7,,
49,36.6,36.6,,
50,30.1,30.1,,
51,29.0,29.0,,
52,38.2,38.2,,
53,34.0,34.0,,
54,29.8,29.8,,
55,38.7,38.7,,
56,36.7,36.7,,
57,31.1,31.1,,
58,32.1,32.1,,
59,33.6,33.6,,
60,31.7,31.7,,
61,31.5,31.5,,
62,32.4,32.4,,
63,33.0,33.0,,
64,33.5,33.5,,
65,33.8,33.8,,
66,33.1,33.1,,
67,31.4,31.4,,
68,29.7,29.7,,
69,31.7,31.7,,
70,32.5,32.5,,
71,31.0,31.0,,
72,32.5,32.5,,
73,34.4,34.4,,
74,36.2,36.2,,
75,33.7,33.7,,
76,34.3,8.109843546649719,-26.62154735126476,42.8412344445642
77,29.2,3.1875523827364463,-44.7894836978713,51.164588463344195
78,30.0,3.026495465848276,-44.95054061475947,51.003531546456024
79,31.1,0.698533018733751,-47.278503061874,48.675569099341494
80,31.8,0.12741122795109466,-47.84962485265665,48.10444730855884
81,24.0,-2.5643050860364998,-50.541341166644244,45.41273099457125
82,28.6,-1.564667780537559,-49.54170386114531,46.412368300070185
83,29.3,-1.3164984376995648,-49.29353451830731,46.66053764290818
84,30.0,-1.604769235580778,-49.58180531618852,46.37226684502697
85,32.0,-6.363793464776042,-54.34082954538379,41.6132426158317
86,35.9,-5.866739702138096,-53.843775782745844,42.11029637846965
87,35.0,-4.41470670357063,-52.391742784178376,43.562329377037116
88,32.1,-10.298541680738696,-58.27557776134644,37.67849439986905
89,34.1,-1.9674886754556653,-49.94452475606341,46.009547405152084
90,32.9,-2.4693609539374077,-50.44639703454516,45.507675126670335
91,41.7,-2.301977345618871,-50.27901342622662,45.67505873498887
92,35.2,-3.603611759717339,-51.580647840325085,44.37342432089041
93,36.1,-0.6389138257307089,-48.61594990633846,47.338122254877035
94,37.0,-0.6891397598330413,-48.666175840440786,47.287896320774706
